score<Pub. year>	score<Application year>	score<Earliest priority year>	score<Cited by patents>	score<Cites patents>	score<Simple family size>	score<Extended family size>	score<NPL citations>
2025	2023	2023	2	0	4	4	0
2019	2018	2013	0	5	4	4	2
2016	2016	2015	4	4	14	14	0
2024	2021	2019	2	16	5	5	82
2020	2020	2016	0	4	9	9	0
2017	2017	2013	2	0	5	5	0
2021	2021	2020	6	5	2	2	1
2020	2018	2018	11	5	14	14	0
2023	2020	2020	3	7	4	4	0
2019	2018	2013	0	4	16	16	0
2024	2022	2016	1	20	5	40	2
2023	2023	2022	0	4	10	10	1
2023	2023	2022	1	3	3	3	1
2020	2020	2015	0	0	14	14	0
2019	2016	2015	7	12	3	3	32
2025	2024	2023	0	0	3	3	0
2023	2023	2023	0	0	1	6	0
2025	2023	2019	0	36	3	3	6
2016	2015	2014	23	4	13	13	0
2023	2022	2020	0	9	4	4	0
2017	2011	2010	5	6	2	2	2
2022	2021	2020	0	5	4	4	0
2019	2018	2017	8	5	2	2	0
2021	2017	2016	0	3	9	9	0
2024	2021	2020	0	7	4	4	0
2022	2020	2015	0	29	14	14	15
2016	2015	2014	14	34	14	241	0
2022	2021	2020	0	15	4	4	27
2016	2014	2014	9	3	2	2	0
2022	2022	2021	6	0	4	4	5
2025	2024	2023	0	5	3	3	2
2025	2024	2022	11	262	30	91	37
2025	2023	2023	0	6	2	2	0
2022	2021	2020	5	5	4	4	0
2025	2022	2018	0	200	3	3	15
2017	2014	2013	17	26	12	12	54
2020	2019	2016	24	0	2	20	0
2025	2025	2022	1	274	11	91	37
2016	2016	2015	19	3	14	14	0
2024	2023	2019	1	0	3	3	0
2017	2016	2015	10	8	14	14	2
2025	2025	2022	0	274	11	91	37
2022	2022	2015	0	1	14	14	0
2018	2016	2015	0	14	7	7	0
2017	2016	2015	1	13	7	7	0
2022	2022	2021	2	4	3	3	3
2022	2021	2020	1	7	4	4	0
2017	2016	2016	18	6	1	1	0
2021	2019	2018	3	7	2	2	32
2017	2016	2015	6	5	7	7	2
2020	2019	2019	31	0	2	2	0
2025	2025	2020	0	0	7	7	0
2023	2023	2022	1	19	10	10	0
2020	2019	2018	9	0	2	2	0
2020	2018	2017	1	37	2	2	1
2017	2016	2014	10	100	14	241	57
2025	2022	2021	0	1	4	4	10
2019	2015	2014	0	6	12	12	3
2024	2023	2022	0	6	1	1	0
2023	2023	2022	0	19	10	10	0
2016	2015	2014	2	6	13	13	0
2017	2016	2016	22	14	1	1	1
2023	2022	2021	10	5	2	2	5
2025	2022	2022	0	17	2	2	17
2025	2024	2019	1	0	12	12	0
2023	2022	2021	0	3	9	9	1
2023	2021	2021	0	9	2	2	20
2020	2018	2018	4	39	2	2	4
2017	2015	2015	12	9	1	1	0
2022	2021	2021	5	2	5	5	40
2022	2019	2019	2	9	2	2	7
2023	2022	2020	2	11	6	6	0
2018	2016	2015	11	0	4	4	0
2019	2016	2015	4	6	4	4	1
2016	2015	2014	4	2	2	2	8
2018	2016	2016	2	2	2	2	0
2018	2017	2013	2	18	6	19	0
2017	2015	2015	12	6	2	2	9
2022	2020	2019	7	4	5	5	2
2019	2017	2013	23	44	16	28	123
2018	2018	2014	4	16	3	3	0
2024	2024	2021	5	1	4	4	0
2019	2019	2013	0	0	18	34	0
2020	2019	2013	5	2	18	34	0
2025	2023	2022	0	0	3	3	0
2020	2020	2013	5	2	18	34	0
2016	2016	2013	9	2	6	19	0
2016	2015	2013	17	29	6	19	10
2017	2016	2013	4	11	6	19	5
